amount_requested,residence_rent_or_own,monthly_rent_amount,bank_account_direct_deposit,application_when,loan_duration,payment_ach,num_payments,payment_amount,amount_approved,duration_approved,address_zip,bank_routing_number,email_duration,residence_duration,bank_account_duration,payment_frequency,monthly_income_amount,raw_l2c_score,raw_FICO_telecom,raw_FICO_retail,raw_FICO_bank_card,raw_FICO_money,flgGood,monthly_income_after_rent,pays_rent,year_month,SAMPLE_WEIGHT
500,0,1508,1,2010-11-22 06:55:21,5,1,10,92.17,500,5,84,default,1 year or more,3+ years,3+ years,Bi-weekly,5600,603,564,564,680,618,1,4092,1,2010-11,1.3333333333333333
500,0,0,1,2010-11-22 07:44:14,6,1,26,38.26,500,6,84,324377516,1 year or more,3+ years,3+ years,Weekly,2000,638,558,605,680,617,0,2000,0,2010-11,1.3333333333333333
500,0,0,1,2010-11-22 08:58:43,6,1,13,77.39,500,6,84,default,1 year or more,3+ years,0-12 months,Bi-weekly,3000,612,527,515,656,583,0,3000,0,2010-11,1.3333333333333333
800,0,0,1,2010-11-22 08:59:25,8,1,13,77.39,500,6,84,default,1 year or more,3+ years,3+ years,Bi-weekly,1934,547,565,597,680,596,0,1934,0,2010-11,1.3333333333333333
800,1,450,1,2010-11-22 22:01:37,8,1,12,84.03,500,6,84,default,0-12 months,3+ years,3+ years,Semi-monthly,1600,713,532,598,580,589,1,1150,1,2010-11,1.3333333333333333
800,1,715,1,2010-11-23 04:52:40,6,1,6,171.75,500,6,84,324079555,1 year or more,3+ years,3+ years,Monthly,2044,621,501,501,597,580,0,1329,1,2010-11,1.3333333333333333
500,1,1065,1,2010-11-23 15:19:12,5,1,10,92.17,500,5,84,324377516,1 year or more,3+ years,0-12 months,Bi-weekly,3066,589,535,535,648,604,0,2001,1,2010-11,1.3333333333333333
500,1,150,1,2010-11-24 16:16:36,5,1,5,193.91,500,5,84,124001545,1 year or more,1-2 years,0-12 months,Monthly,2351,763,526,544,660,561,1,2201,1,2010-11,1.3333333333333333
800,1,625,1,2010-11-24 21:16:53,8,1,13,77.39,500,6,84,324377516,1 year or more,0-12 months,3+ years,Bi-weekly,1400,716,501,536,618,543,0,775,1,2010-11,1.3333333333333333
500,1,0,0,2010-11-26 07:25:51,5,1,10,92.17,500,5,84,124302150,1 year or more,3+ years,0-12 months,Bi-weekly,900,541,535,579,680,608,0,900,0,2010-11,1.3333333333333333
800,1,400,0,2010-11-26 09:39:20,5,1,21,44.01,500,5,84,default,0-12 months,3+ years,0-12 months,Weekly,2000,745,501,548,644,558,0,1600,1,2010-11,1.3333333333333333
800,1,400,1,2010-11-27 06:20:37,5,1,21,44.01,500,5,84,324377516,1 year or more,0-12 months,3+ years,Weekly,2240,544,586,596,664,592,0,1840,1,2010-11,1.3333333333333333
500,1,750,1,2010-11-27 22:19:33,5,1,21,44.01,500,5,84,124002971,1 year or more,0-12 months,1-2 years,Weekly,4000,716,507,520,660,557,0,3250,1,2010-11,1.3333333333333333
500,1,650,0,2010-11-29 04:42:53,5,1,10,92.17,500,5,84,default,1 year or more,3+ years,0-12 months,Bi-weekly,1400,763,522,535,647,576,0,750,1,2010-11,1.3333333333333333
400,1,0,1,2010-11-29 08:17:55,8,1,13,61.91,400,6,84,124002971,1 year or more,3+ years,3+ years,Bi-weekly,1200,546,559,616,643,601,1,1200,0,2010-11,1.3333333333333333
800,1,700,0,2010-11-29 11:22:38,3,1,6,221.57,800,3,84,124000054,1 year or more,3+ years,1-2 years,Semi-monthly,2700,660,549,565,663,585,0,2000,1,2010-11,1.3333333333333333
800,1,530,1,2010-11-30 14:33:56,3,1,3,284.69,500,3,84,324377516,0-12 months,0-12 months,0-12 months,Monthly,900,732,516,557,656,583,1,370,1,2010-11,1.3333333333333333
500,1,475,0,2010-11-30 22:05:00,5,1,21,44.01,500,5,84,default,1 year or more,3+ years,0-12 months,Weekly,2400,541,510,539,630,589,0,1925,1,2010-11,1.3333333333333333
300,0,600,1,2010-12-01 09:33:12,5,1,10,55.3,300,5,84,default,1 year or more,3+ years,1-2 years,Bi-weekly,1400,574,560,581,680,616,1,800,1,2010-12,1.6666666666666665
800,1,600,1,2010-12-02 08:20:43,6,1,13,77.39,500,6,84,default,1 year or more,3+ years,3+ years,Bi-weekly,2042,544,618,657,708,639,0,1442,1,2010-12,1.6666666666666665
500,0,0,1,2010-12-03 17:10:45,5,1,10,92.17,500,5,84,124001545,0-12 months,3+ years,0-12 months,Bi-weekly,3152,577,501,525,632,564,1,3152,0,2010-12,1.6666666666666665
800,1,200,1,2010-12-04 13:47:34,6,1,12,134.45,800,6,84,default,1 year or more,3+ years,3+ years,Semi-monthly,2200,734,544,556,680,589,1,2000,1,2010-12,1.6666666666666665
500,1,400,1,2010-12-04 19:18:46,5,1,10,92.17,500,5,84,124002971,1 year or more,0-12 months,3+ years,Bi-weekly,1600,716,546,540,657,590,1,1200,1,2010-12,1.6666666666666665
700,1,635,1,2010-12-06 18:51:16,8,1,17,92.64,700,8,84,124000054,1 year or more,0-12 months,3+ years,Bi-weekly,1514,713,522,548,622,607,0,879,1,2010-12,1.6666666666666665
800,0,0,0,2010-12-07 10:54:25,6,1,13,123.82,800,6,84,default,1 year or more,3+ years,3+ years,Bi-weekly,1100,719,621,692,731,618,0,1100,0,2010-12,1.6666666666666665
500,1,1250,1,2010-12-08 18:56:31,5,1,21,44.01,500,5,84,default,1 year or more,1-2 years,1-2 years,Weekly,6000,663,618,682,703,630,1,4750,1,2010-12,1.6666666666666665
500,0,450,1,2010-12-09 09:42:37,5,1,10,94.7,500,5,84,124002971,1 year or more,3+ years,1-2 years,Semi-monthly,2200,661,547,580,676,612,0,1750,1,2010-12,1.6666666666666665
700,1,300,1,2010-12-09 09:55:56,8,1,34,45.86,700,8,84,default,1 year or more,1-2 years,1-2 years,Weekly,1550,733,557,587,656,604,1,1250,1,2010-12,1.6666666666666665
500,1,600,1,2010-12-09 13:06:45,5,1,10,92.17,500,5,84,324377516,1 year or more,1-2 years,0-12 months,Bi-weekly,2460,530,599,644,673,627,0,1860,1,2010-12,1.6666666666666665
800,0,1000,1,2010-12-10 22:08:48,8,1,13,77.39,500,6,84,124001545,1 year or more,3+ years,0-12 months,Bi-weekly,2200,612,679,718,756,618,0,1200,1,2010-12,1.6666666666666665
800,0,1050,1,2010-12-11 11:31:09,8,1,16,113.77,800,8,84,324377516,1 year or more,3+ years,3+ years,Semi-monthly,4800,765,614,655,684,627,1,3750,1,2010-12,1.6666666666666665
300,1,500,0,2010-12-12 10:31:06,8,1,12,50.42,300,6,84,124001545,1 year or more,1-2 years,1-2 years,Semi-monthly,2200,759,531,579,608,559,0,1700,1,2010-12,1.6666666666666665
800,1,200,1,2010-12-11 12:29:11,8,1,13,77.39,500,6,84,324377516,1 year or more,1-2 years,0-12 months,Bi-weekly,1800,559,550,635,631,592,1,1600,1,2010-12,1.6666666666666665
500,0,250,1,2010-12-11 13:46:57,5,1,5,193.91,500,5,84,default,1 year or more,3+ years,0-12 months,Monthly,2102,599,568,588,659,580,1,1852,1,2010-12,1.6666666666666665
600,1,425,1,2010-12-11 13:58:14,5,1,10,92.17,500,5,84,default,1 year or more,0-12 months,3+ years,Bi-weekly,1800,734,515,501,632,567,1,1375,1,2010-12,1.6666666666666665
800,1,800,1,2010-12-11 23:31:12,4,1,17,81.87,800,4,84,324377516,1 year or more,3+ years,3+ years,Weekly,1980,582,561,599,680,633,0,1180,1,2010-12,1.6666666666666665
500,1,850,1,2010-12-12 14:49:05,5,1,10,92.17,500,5,84,124002971,1 year or more,3+ years,3+ years,Bi-weekly,1900,639,534,607,608,558,0,1050,1,2010-12,1.6666666666666665
500,1,900,1,2010-12-13 07:21:00,5,1,10,92.17,500,5,84,default,1 year or more,3+ years,3+ years,Bi-weekly,3400,602,603,643,671,606,0,2500,1,2010-12,1.6666666666666665
500,1,0,1,2010-12-13 12:47:36,5,1,21,44.01,500,5,84,default,1 year or more,1-2 years,0-12 months,Weekly,1200,664,509,517,564,588,0,1200,0,2010-12,1.6666666666666665
800,0,1400,1,2010-12-13 14:54:29,5,1,10,147.47,800,5,84,default,1 year or more,3+ years,3+ years,Bi-weekly,3100,678,569,585,680,631,0,1700,1,2010-12,1.6666666666666665
500,0,676,1,2010-12-14 08:22:47,5,1,10,92.17,500,5,84,124001545,1 year or more,3+ years,0-12 months,Bi-weekly,2392,780,559,540,660,581,0,1716,1,2010-12,1.6666666666666665
800,0,1216,1,2010-12-14 12:06:44,5,1,5,193.91,500,5,84,124000054,1 year or more,3+ years,3+ years,Monthly,4703,542,603,590,680,637,0,3487,1,2010-12,1.6666666666666665
800,1,500,1,2010-12-14 15:36:30,8,1,17,105.88,800,8,84,324079555,1 year or more,3+ years,3+ years,Bi-weekly,3780,765,632,650,705,627,1,3280,1,2010-12,1.6666666666666665
600,1,500,1,2010-12-14 19:41:07,8,1,13,77.39,500,6,84,124302150,1 year or more,0-12 months,3+ years,Bi-weekly,2400,660,581,591,680,617,1,1900,1,2010-12,1.6666666666666665
600,1,500,1,2010-12-14 19:41:07,8,1,13,77.39,500,6,84,124302150,1 year or more,0-12 months,3+ years,Bi-weekly,2400,660,581,591,680,617,0,1900,1,2010-12,1.6666666666666665
800,1,1000,1,2010-12-14 21:09:49,3,1,13,62.88,500,3,84,default,1 year or more,1-2 years,1-2 years,Weekly,1880,521,586,636,678,609,0,880,1,2010-12,1.6666666666666665
500,1,450,1,2010-12-15 12:36:52,8,1,12,84.03,500,6,84,124000054,0-12 months,3+ years,3+ years,Semi-monthly,2328,573,612,649,682,618,1,1878,1,2010-12,1.6666666666666665
500,1,450,1,2010-12-15 12:36:52,8,1,12,84.03,500,6,84,124000054,0-12 months,3+ years,3+ years,Semi-monthly,2328,573,612,649,682,618,1,1878,1,2010-12,1.6666666666666665
500,1,585,1,2010-12-16 08:28:30,5,1,21,44.01,500,5,84,124000054,1 year or more,0-12 months,0-12 months,Weekly,2200,763,540,565,673,599,0,1615,1,2010-12,1.6666666666666665
800,1,200,1,2010-12-16 12:43:18,8,1,12,84.03,500,6,84,124001545,1 year or more,3+ years,1-2 years,Semi-monthly,2550,663,508,501,641,583,0,2350,1,2010-12,1.6666666666666665
400,1,400,1,2010-12-16 16:32:50,8,1,6,137.4,400,6,84,124302150,1 year or more,3+ years,3+ years,Monthly,1912,593,601,640,645,614,1,1512,1,2010-12,1.6666666666666665
500,0,1050,0,2010-12-16 19:09:58,5,1,10,92.17,500,5,84,default,1 year or more,3+ years,3+ years,Bi-weekly,2720,567,546,555,680,594,1,1670,1,2010-12,1.6666666666666665
300,1,600,1,2010-12-17 05:02:24,5,1,10,55.3,300,5,84,324377516,1 year or more,3+ years,3+ years,Bi-weekly,1800,555,511,514,634,579,1,1200,1,2010-12,1.6666666666666665
300,1,600,1,2010-12-17 05:02:24,5,1,10,55.3,300,5,84,324377516,1 year or more,3+ years,3+ years,Bi-weekly,1800,555,511,514,634,579,1,1200,1,2010-12,1.6666666666666665
500,1,750,1,2010-12-17 07:05:56,5,1,10,92.17,500,5,84,124302150,1 year or more,0-12 months,3+ years,Bi-weekly,960,754,529,519,649,595,1,210,1,2010-12,1.6666666666666665
800,0,734,1,2010-12-17 08:54:12,5,1,10,92.17,500,5,84,124002971,1 year or more,3+ years,0-12 months,Bi-weekly,2500,602,514,550,573,580,0,1766,1,2010-12,1.6666666666666665
800,0,954,1,2010-12-17 10:34:02,8,1,8,231.76,800,8,84,default,1 year or more,3+ years,3+ years,Monthly,3100,754,587,573,680,626,0,2146,1,2010-12,1.6666666666666665
500,1,0,0,2010-12-17 12:36:17,8,1,17,66.17,500,8,84,324377516,1 year or more,1-2 years,3+ years,Bi-weekly,700,760,646,674,740,632,1,700,0,2010-12,1.6666666666666665
500,1,400,0,2010-12-17 15:05:42,5,1,10,92.17,500,5,84,default,1 year or more,1-2 years,3+ years,Bi-weekly,2200,734,510,556,653,569,0,1800,1,2010-12,1.6666666666666665
500,1,370,1,2010-12-17 17:42:17,8,1,12,84.03,500,6,84,124302150,1 year or more,0-12 months,0-12 months,Semi-monthly,1580,663,501,533,643,555,0,1210,1,2010-12,1.6666666666666665
800,0,1350,1,2010-12-18 09:15:14,6,1,13,123.82,800,6,84,default,0-12 months,3+ years,3+ years,Bi-weekly,3000,602,624,645,681,641,0,1650,1,2010-12,1.6666666666666665
300,0,888,0,2010-12-18 10:48:05,5,1,5,116.34,300,5,84,124302150,1 year or more,3+ years,3+ years,Monthly,1224,522,593,592,680,620,0,336,1,2010-12,1.6666666666666665
400,1,550,1,2010-12-18 18:29:17,5,1,5,155.12,400,5,84,324377516,1 year or more,1-2 years,1-2 years,Monthly,2394,580,575,551,680,612,0,1844,1,2010-12,1.6666666666666665
500,1,950,1,2010-12-18 20:31:39,5,1,5,193.91,500,5,84,default,1 year or more,1-2 years,3+ years,Monthly,4385,586,550,536,677,599,0,3435,1,2010-12,1.6666666666666665
800,1,800,1,2010-12-19 07:50:07,8,1,13,77.39,500,6,84,default,1 year or more,3+ years,0-12 months,Bi-weekly,6000,654,517,526,664,570,0,5200,1,2010-12,1.6666666666666665
550,0,600,1,2010-12-20 08:02:33,5,1,10,92.17,500,5,84,124002971,1 year or more,3+ years,1-2 years,Bi-weekly,1400,532,603,654,659,636,0,800,1,2010-12,1.6666666666666665
800,0,600,1,2010-12-20 08:35:05,8,1,13,77.39,500,6,84,default,1 year or more,3+ years,1-2 years,Bi-weekly,1500,574,557,582,680,617,0,900,1,2010-12,1.6666666666666665
500,1,900,1,2010-12-20 08:56:19,5,1,10,94.7,500,5,84,124001545,1 year or more,1-2 years,1-2 years,Semi-monthly,6338,583,558,608,672,605,1,5438,1,2010-12,1.6666666666666665
500,0,1714,0,2010-12-20 09:42:32,4,1,4,227.67,500,4,84,124001545,1 year or more,3+ years,3+ years,Monthly,10000,536,627,660,705,662,1,8286,1,2010-12,1.6666666666666665
300,1,600,1,2010-12-20 10:20:15,7,1,12,50.42,300,6,84,default,0-12 months,3+ years,0-12 months,Semi-monthly,1470,645,529,569,665,586,1,870,1,2010-12,1.6666666666666665
300,0,0,1,2010-12-20 10:47:39,5,1,5,116.34,300,5,84,124001545,1 year or more,3+ years,1-2 years,Monthly,1327,621,587,607,680,636,1,1327,0,2010-12,1.6666666666666665
300,0,0,1,2010-12-20 10:47:39,5,1,5,116.34,300,5,84,124001545,1 year or more,3+ years,1-2 years,Monthly,1327,621,587,607,680,636,1,1327,0,2010-12,1.6666666666666665
500,1,600,1,2010-12-20 11:20:39,5,1,10,92.17,500,5,84,default,0-12 months,1-2 years,0-12 months,Bi-weekly,3500,716,515,544,584,575,0,2900,1,2010-12,1.6666666666666665
500,0,1142,1,2010-12-20 11:53:24,5,1,21,44.01,500,5,84,default,1 year or more,1-2 years,3+ years,Weekly,2400,681,610,661,656,633,1,1258,1,2010-12,1.6666666666666665
500,0,1142,1,2010-12-20 11:53:24,5,1,21,44.01,500,5,84,default,1 year or more,1-2 years,3+ years,Weekly,2400,681,610,661,656,633,1,1258,1,2010-12,1.6666666666666665
800,1,0,0,2010-12-20 15:46:28,5,1,10,94.7,500,5,84,124002971,1 year or more,3+ years,0-12 months,Semi-monthly,1800,536,529,543,607,608,0,1800,0,2010-12,1.6666666666666665
800,0,1308,1,2010-12-20 18:46:56,5,1,10,147.47,800,5,84,124302150,1 year or more,3+ years,0-12 months,Bi-weekly,3843,661,657,670,703,650,1,2535,1,2010-12,1.6666666666666665
800,1,0,1,2010-12-21 08:08:36,8,1,26,38.26,500,6,84,124002971,1 year or more,3+ years,3+ years,Weekly,2392,580,525,551,666,568,0,2392,0,2010-12,1.6666666666666665
300,0,800,1,2010-12-21 10:07:03,4,1,4,136.6,300,4,84,default,1 year or more,3+ years,3+ years,Monthly,3100,616,620,657,721,613,1,2300,1,2010-12,1.6666666666666665
500,0,1600,0,2010-12-21 10:38:15,5,1,10,92.17,500,5,84,default,1 year or more,1-2 years,3+ years,Bi-weekly,2000,528,592,571,680,609,0,400,1,2010-12,1.6666666666666665
500,1,1200,1,2010-12-21 17:30:38,5,1,21,44.01,500,5,84,default,0-12 months,3+ years,0-12 months,Weekly,2080,616,603,661,694,562,0,880,1,2010-12,1.6666666666666665
800,1,350,0,2010-12-22 12:49:32,8,1,17,105.88,800,8,84,default,1 year or more,0-12 months,0-12 months,Bi-weekly,770,765,541,554,625,565,1,420,1,2010-12,1.6666666666666665
800,1,350,0,2010-12-22 12:49:32,8,1,17,105.88,800,8,84,default,1 year or more,0-12 months,0-12 months,Bi-weekly,770,765,541,554,625,565,1,420,1,2010-12,1.6666666666666665
